Area,Course Name,Term,Programme,Professor,Rating,Credits,Course Description
ENTR,MENTORSHIP MATCH-LEARNING TO INNOVATE WITH VENTURE LEADERS,W2,MBA,Chris Carder,3,6,This experiential learning course offers the opportunity for MBA/IMBA students to accelerate their understanding of entrepreneurship and earn credit for gaining relevant work experience  under the direct on-site mentorship and guidance of a handpicked Innovation Sector Founder or Venture Investment Leader.
FINE,MANAGERIAL FINANCE,W2,"MBA,MBAN",Yelena Larkin,5,3,"Provides an opportunity to learn about investment and financing decisions. The investment decisions involve asset valuation, capital budgeting, risk management, working capital management and performance assessment. The financing decisions include the choice of capital structure and financial instruments, the risk-return trade-off, financial planning and cost of capital. Ethical, environmental, and corporate governance considerations are integrated into investment and financing decisions."
FINE,FINANCE IN THE DIGITAL AGE,W2,MBAT,Pauline Shum-Nolan,3,3,"This course is designed to immerse students in basic decision making and risk management in the financial services industry as it shifts to the digital age. Students will study the different verticals in the ecosystem, the importance of financial inclusion, business models, how technology can improve existing operations and accelerate change, as well as the associated risk and regulations."
FINE,PERSONAL FINANCIAL MANAGEMENT,W2,MBA,Murray McGuire,3,3,"Students learn the concepts and techniques of personal financial management in a thorough and rigorous finance framework. Topics include: goal setting, budgeting, financial intermediation, income tax, risk management, insurance, debt management, home valuation, investments, retirement planning, estate planning and strategic use of personal financial planning in financial institutions. Prerequisite: SB/FINE 5200 3.00."
FINE,FINTECH-DIGITAL TRANSFORMATION OF FINANCIAL SERVICES,W2,MBA,Pauline Shum-Nolan,5,3,"This course is designed for students interested in the emerging and evolving field of Fintech and the digital transformation of financial services. Students will study the different verticals in the Fintech ecosystem, the current landscape, pain points of consumers, sources of financing and exit for fintech start-ups, open banking, the disruption to incumbents, and cloud computing. Prerequisites: SB/ FINE5200 3.0 or SB/MFIN5100 3.0 or permission of the instructor."
FINE,MANAGING RISK IN A CHANGING GLOBAL ENVIRONMENT,W2,MBA,Gregory Pau,4,3,"Investors and businesses with access to global markets often need to make decisions in response to unpredictable global changes and risks. In this practical course, we will discuss the major risk issues relevant to international markets and explore measures to manage and mitigate them. We will also cover topics such as valuation, trade finance and capital markets in international context. Prerequisite: SB/FINE 5200 3.00"
FINE,BEHAVIOURAL FINANCE,W2,MBA,Pauline Shum-Nolan,5,3,"Classical finance incorporates fully rational, unemotional agents; financial decisions are made without the influence of emotions or personal characteristics. Much recent study contradicts this view. By examining psychological factors known to influence individual choice and financial decision-making we can identify behavioural biases that are both reliable and exploitable. With care, many of these biases can be avoided. Prerequisite: SB/FINE 5200 3.00."
MBAN,VISUAL ANALYTICS & MODELLING,W2,MMAI,David Elsner,3,3,"This course is an introduction to the fundamental theories of visual communication design applied in data visualization and visual analytics. Students become familiar with data-driven decision making workflows and storytelling best practices. Major areas for discussion include visual design principals, data structures, taxonomy of data visualization models and weekly technical tutorials using the Tableau software."
MBAN,ARTIFICIAL INTELLIGENCE IN BUSINESS I,W2,MBA,Hjalmar Turesson,3,3,"Students are introduced to the field of artificial intelligence, with a focus on business applications and a historical perspective that covers the basic terminology and concepts. The course covers multiple facets of artificial intelligence including knowledge representation and symbolic reasoning; biologically inspired approaches to artificial intelligence; supervised, unsupervised, and reinforcement learning; multi-agent systems; planning; and natural language processing."
MKTG,MARKETING MANAGEMENT,W2,"MBA,MMGT",Gail Walker,3,3,"This course familiarizes students with the major marketing concepts (buyer behaviour, segmentation, targeting, positioning, product/service development and management, pricing, distribution, communication). It applies these concepts to profit, not-for-profit, new, mature, service, product-based, domestic and international organizations. It develops specific skills such as problem-solving, verbal presentation, business writing and group work.Marketing ethics and sustainability issues are integrated into the course."
MKTG,STRATEGIC MARKET COMMUNICATIONS,W2,MBA,Paul Tedesco,3,3,"Offers a focused approach to the formulation and implementation of an integrated communications strategy to meet particular marketing objectives. Topics of interest include advertising, sales, promotion, public relations, and social media communications, and their integration both online and offline. The approach is cutting edge, multidisciplinary, integrative, practical and applied. Teaching approaches include case analysis, discussion, and guest participants. Prerequisite: SB/MKTG 5200 3.00."
MKTG,CONSUMER BEHAVIOUR,W2,MBA,Margaret Hastings,5,3,"This course assists students in developing a thorough understanding of both organizational buyers and end consumers. The psychological, sociological, organizational and environmental factors that shape buyer behaviour are reviewed. Throughout the course, the implications for both marketing strategies and tactics are addressed. Prerequisite: SB/MKTG 5200 3.00."
MKTG,SOCIAL MEDIA FOR MARKETING AND MANAGEMENT,W2,"MBA,MMKG",Mark Silver,5,3,"Social media is changing society, changing the nature of marketing, and changing the way that business is conducted and managed. In this course, students explore the role of social media in the life of the marketer and business manager. It begins with a detailed understanding of the origins, forms, and uses of social media. It expands into an examination and hands-on of the methods for researching and understanding social media. The course then overviews the various uses and forms of social media, ranging web-pages, forums, and blogs to social networking sites. Twitter, wikis and mobile. The course features an applied student project that brings to life the potential and pitfalls of this new marketing and management communications form. Prerequisite: SB/MKTG 5200 3.00."
MKTG,SERVICE MARKETING,W2,"MBA,MBAN,MMKG",Joe Fayt,5,3,"Examines the need for marketing in service industries, develops an understanding of the ways in which service marketing differs from product marketing, and improves students' understanding of how service characteristics affect the marketing function. Students learn to develop and implement marketing plans for service organizations. Prerequisite: SB/MKTG 5200 3.00."
MKTG,ENTERTAINMENT CULTURE AND MARKETING,W2,"MBA,MMKG",Steve Pulver,5,3,"Using an effective combination of readings, class discussions, real world entertainment marketing cases, and guest speakers, this course develops a managerial and socio-cultural perspective on the marketing of entertainment. Attention is focused on analysing the relationship between the global marketplace and entertainment business decision-making; the determination of entertainment products, services, experiences, prices, channels and communications strategies for licensing, live concerts, sponsorship, entertainment brands, movies, prerecorded music, streaming, nightclubs, and live theatre. Prerequisite: SB/MKTG 5200 3.00."
MKTG,RETAIL MARKETING STRATEGIES,W2,"MBA,MMKG",Kate Ellis,5,3,"Examines retail strategies on a number of fronts including: product selection, service quality, pricing, promotion, e-commerce and consumer loyalty. The course provides students with the knowledge required to assess and develop retail strategy within and beyond the Canadian context. Prerequisite: SB/MKTG 5200 3.00."
MKTG,MARKETING METRICS,W2,"MBA,MBAN",Ryan Zhao,3,3,"This course focuses on developing the analytical skills required to successfully apply the principles of quantitative analysis to the marketing discipline. Students will learn the most common measurement methods currently being used in the marketing field. Prerequisites: SB/MKTG 5200 3.00, SB/ACTG 5100 3.00, SB/FINE 5200 3.00."
MKTG,MARKETING ANALYTICS,W2,MMKG,Hemant Sangwan,3,3,"Students learn methods and techniques to analyze and report on data generated from marketing activities. Common web analytic platforms such as Google Analytics will be reviewed and used to report on digital marketing activities. Key performance indicators (KPI), marketing dashboards, return on investment (ROI), customer satisfaction, loyalty and social media metrics will be generated and analyzed to meet the reporting needs of a broader marketing management strategy."
MKTG,BRAND MANAGEMENT,W2,"MBA,MMKG",Ashley Konson,5,3,"In the complex contemporary world of marketing management, Brand Management must be both an art and a science. This course applies marketing strategy to the challenge of gaining sustainable competitive advantage in the global marketplace of brands. With a fundamental focus on building and maintaining strong brands with loyal consumer bases, a range of topics and teaching techniques are utilized. Prerequisite: SB/MKTG 5200 3.00."
MKTG,STRATEGIC PROFESSIONAL SELLING,W2,"MBA,MMKG",Charles Hendriks,5,3,"Managers today need a deep understanding of Sales as a process and function to drive business success. What's more, managers often do more 'selling' internally than sales people do with customers, and thus require expert selling skills. In this course, students will learn organizational sales models, processes, and strategies, and develop critical skills such as active listening, persuasion, and alignmentbuilding."
MMAI,BUSINESS APPLICATIONS OF AI II,W2,MMAI,Divinus Oppong-Tawiah,3,3,"This course bridges the theoretical foundation and the business applications of artificial intelligence technology. Through in-class lecturing and hands-on activities, students learn fundamentals of AI technology, formulate business problems in AI paradigm and Applications of AI in addressing business problems. The class covers up-to-date AI applications such as Recommendation Systems, FinTech, Social Network Analytics, Sentiment Analysis etc."
MMAI,ALGORITHMS FOR BUSINESS ANALYSIS,W2,MMAI,Isik Bicer,4,3,"The course covers main approaches to design and analysis of algorithms used in business contexts, including important algorithms and data structures, and results in complexity and computability. This course is a pre-requisite for SB/MMAI 5300 3.00."
OMIS,INFORMATION SYSTEMS,W2,MBA,Divinus Oppong-Tawiah,5,1.5,"The aim of this course is to create an understanding of key management issues with respect to the use of computer and information systems in modern business applications. Core technologies of hardware, software, databases, telecommunications, internet and the web, IT security, as well as emerging technologies such as AI and blockchain will be explored from a management perspective. As well as exploring technological, economic and organizational facets, important equity, environment, and social justice issues like gender and racial bias in AI, digital exclusion, e-waste, and carbon reporting are also examined."
OMIS,QUANTITATIVE METHODS,W2,MBA,Alan Marshall,5,1.5,"An introduction to the use of quantitative methods for business research, analysis, forecasting and decision making. The aim is to convey not only an understanding of methods, but also to give an appreciation of their use in addressing actual business problems impacting society, and to acquaint students with computer software necessary for implementing these methods. Problems revolving around economic, social, human, and environmental sustainability will be highlighted throughout the course, including ethical considerations around the collection, interpretation and use of statistical information."
OMIS,ANALYTICS AND MODELLING FOR HEALTHCARE,W2,MHIA,David Elsner,4,1.5,"This course will demonstrate the fundamentals of data analysis, data visualization, and how to communicate effectively with data. Students will discover how to use the concepts, skills and methods to find the key message of the data and how to use it to create an interesting, engaging, and impactful business story. Prerequisites: None"
OMIS,DIGITIZING SUPPLY CHAIN OPERATIONS,W2,MBAT,Isik Bicer,5,3,"Supply chain digitization is the process of turning analog supply chain processes into digital ones by establishing dedicated master data that aggregates information from the entire supply chain, and information from some external sources. In this course, students explore and learn the foundations and components of supply chain digitization and make the connection between the strategy, technology, and implementation."
OMIS,OPERATIONS MANAGEMENT,W2,MBA,Romeo Callegaro,3,1.5,"Operations management in both manufacturing and service organizations involves the coordination of complex and dynamic systems of people, technology and materials to achieve competitive objectives. The impact of alternative strategies for delivering quality products in a cost-effective manner is examined. This includes currently popular inventory management philosophies such as `Total Quality Management' and `Just-In-Time' inventory management. Ethical considerations relating to the development of socio-technical systems and environmental implications of TQM will be highlighted."
OMIS,DESIGN AND MANAGMENT OF ORGANIZATIONAL PROCESSES,W2,MSCM,Ed Burns,5,3,"This course examines critically the most important ideas and practices used by organizations to design and implement effective processes. This includes quality, lean, supply chain and project management concepts and technology. Important stakeholders such as customers, employees and suppliers are considered. The goal is to secure the availability of enough sustainably produced, cost effective, quality goods and services. Course Credit Exclusions: SB/MSTM 5210 3.00"
OMIS,MODELS & APPLICATIONS IN OPERATIONAL RESEARCH,W2,MBAN,Adam Diamant,3,3,"Provides a survey of selected topics in operational research (OR). Emphasis is placed on the practical application of OR tools rather than on the mathematical properties. Application areas include: financial planning and portfolio selection, production, priority planning and marketing. Topics include: linear programming and its applications; programming to achieve a set of goals or targets with applications in finance and production; capital budgeting and project selection; transportation and network models; and portfolio models. Prerequisites: SB/OMIS 5120 1.50 and SB/OMIS 5210 1.50 or permission of the Instructor."
OMIS,MANAGING CHANGE IN SUPPLY CHAINS,W2,MSCM,Ed Burns,4,1.5,"Major changes to supply chains must align logistics, inventory management, purchasing, distribution, customer service and manufacturing by engaging critical stakeholders within and between organizations. This course takes a design for supply chain approach to all business cases for critical organizational initiatives. Best practices in managing teams and engaging all relevant stakeholders in a process of change are highlighted. Prerequisite: SB/ OMIS 6200 3.00"
OMIS,MANAGING INTERNATIONAL TRADE IN SUPPLY CHAINS,W2,MSCM,Tony Bejjani,5,3,"Plant location, supplier selection and product and process development are international business decisions. This course will focus on preparing realistic international business plans for creating and changing networks of supply and distribution that trade across multiple countries. It explores the multilateral issues of international value creation and develops skills in negotiating and problem solving in an international trade context. Prerequisites: SB/OMIS 6200 3.00, SB/OMIS 6210 3.00 and SB/OMIS 6220 3:00"
OMIS,MANAGING DIGITAL SUPPLY CHAIN TECHNOLOGY,W2,MSCM,Hossam Ali-Hassan,3,3,"This course provides frameworks to evaluate and plan the adoption and implementation of supply chain new technologies. This includes the assessment of the competitive limits of existing organizational systems, processes and relationships for doing supply chain tasks and supporting potentially new business models. We discuss the challenges and strategies for innovating to secure supply chains against risks such as climate change and technological disruption."
OMIS,ADVANCED SPREADSHEET MODELLING & PROGRAMMING FOR BUSINESS,W2,"MBA,MBAN",Guangrui Li,4,3,"This course enables the design, development, and implementation of integrated business analysis systems by combining the extended functionality of spreadsheets with the Visual Basic for Applications (VBA) programming language. The course demonstrates the power of combining the advanced analysis and modelling techniques of spreadsheets and VBA through applications to several practical problems from disparate business functions. Prerequisites: SB/OMIS 5110 1.50 and SB/OMIS 5120 1.50 or permission of the Instructor."
ORGS,ORGANIZATIONAL BEHAVIOUR,W2,MBA,Ruodan Shao,3,3,"The purpose of this course is to create a knowledge base from which students can develop organizational competence. It examines the relationships between organizational performance and the behaviour of individuals, groups, and overall organizations. In the process, emphasis is given to the importance of interpersonal issues and to issues arising from technological change, workforce diversity, ethical challenges, and internationalization. Consideration is also given to issues pertaining to the natural environment such as sustainability and ESG."
ORGS,LEADING DIGITAL TRANSFORMATIONS,W2,MBAT,Thomas Medcof,4,3,"This course explores individual and group behavior in organizations, with a focus on how to create diverse and resilient work units ready to adapt to digital transformation. Good leadership skills are needed for digital transformation to be accepted and implemented. Thus, the course focuses on the topics of persuasion, decision-making, team dynamics, conflict management, communication and diversity and inclusion."
ORGS,MANAGING CHANGE,W2,"MBA,MBAN",Gary Miller,4,3,"As the environment of many business and non-profit organizations becomes increasingly complex and unstable, it is imperative that top managers be able to create a climate of flexibility and adaptability in their operations. Organizations must be able to undertake major change without destructive side effects to be truly successful. This course surveys the major methods available to the modern manager for effectively managing the process of change and creating a general climate in which needed changes are sought and welcomed throughout the organization. The course emphasizes case studies and the discussion of alternative change management models. Prerequisite: SB/ORGS 5100 3.00"
ORGS,POWER AND POLITICS IN ORGANIZATIONS,W2,MBA,Jonathan Leibtag,3,3,"Examines, both conceptually and in a highly experiential ways, the basic dynamics underlying power, conflict and politics in organizations and the implications of the dance between power and powerlessness. Students explore the conditions under which conflict and power dynamics occur and start to identify their personal, managerial and organizational sources of influence and corresponding responsibilities. Prerequisite: SB/ORGS 5100 3.00 or SB/INTL 5220 3.00 for IMBA students."
ORGS,CRISIS MANAGEMENT,W2,MBA,Gautam Suri,4,3,"Crises in organizations are inevitable, and whether an organization survives them is due in large part to the actions of its managers and leaders. This course provides students with an overview of key factors in organizational crisis management, including (1) Assessing Crisis Vulnerabilities; (2) Planning for Crises; and (3) Managing during Crises. Prerequisites: All 5000-series Required Foundations of Management Core Courses."
ORGS,INTERPERSONAL MANAGERIAL SKILLS,W2,MBA,Stephen Friedman,3,3,"Research demonstrates that people and their ability to work effectively together are critical success factors for organizations. This course focuses on specific personal and interpersonal skills for organizational (and professional) effectiveness. With an emphasis on experiential exercises, the course helps students develop skills such as communication; time, conflict and stress management; performance management; gaining influence; and self-awareness (including emotional intelligence). Prerequisites: SB/ORGS 5100 3.00 and SB/MGMT 6150 3.00 (Previously offered as MGMT 5150 3.00)"
ORGS,NEGOTIATIONS,W2,"MBA,MBAN",Haniyeh Yousofpourfard,4,3,"Provides students with insight into their own negotiation style and how to become a more effective negotiator. The course takes an experiential approach to exploring the concepts, theories, and psychology of negotiations. Students will gain knowledge of the different approaches to negotiations and the strategies and tactics unique to each. The course will provide students with opportunity to learn, practice, and refine negotiation skills as well as equip them with the skills necessary to negotiate constructive resolution to conflict in the workplace. Prerequisite: SB/ORGS 5100 3.00"
ORGS,THE ART AND SCIENCE OF LEADERSHIP,W2,MBA,Thomas Medcof,4,3,Provides future leaders a multifaceted approach to Leadership. Knowledge and skills are developed via: 1) exposure to current theories/research; 2) knowledge of one's current level of leadership ability via assessment tools; 3) opportunities to practice applying this new knowledge via course activities and projects. Students develop an in-depth plan for their own future development and success as leaders. Prerequisite: SB/ORGS 5100 3.00
ACTG,FINANCIAL ACCOUNTING FUNDAMENTALS,SU,"MACC,GDIA",John Bogdan,5,3,"Provides a technical focus for students destined to complete research in an accounting field or pursue an accounting career. It is the foundation for all financial accounting courses in the Master of Accounting program. The fundamentals include: understanding and completing accounting transactions and the accounting cycle; understanding the conceptual framework; selecting accounting policies; preparing, understanding and analysing financial statements; making business decisions considering different accounting alternatives. Previously offered as SB/MACC 5101 3.00. NOTE: Open only to MACC students"
ACTG,FINANCIAL DECISIONS FOR MANAGERS,SU,MSCM,Supinder Babra,5,3,"This course will provide students with an understanding of the financial implications of managers' decision making and how financial measures can be used to monitor and control business operations. Concepts will include capital budgeting, financial statements, break-even analysis, non-routine decision making, pricing decisions, profit and loss calculation, ROI, and Operating Budget and budgeted financial statements."
ACTG,MANAGEMENT ACCOUNTING,SU,"MBA,MBAN",Sandy Qu,4,1.5,"This course provides an introduction to management accounting techniques that are useful in management decision making situations such as cost management, pricing special orders, determining service levels and performance appraisal. The non-applicability of external reporting figures for most management decisions is reviewed. In arriving at managerial decisions, all stakeholder interests are considered, including socially responsible decision making around key issues. Prerequisite: SB/ACTG 5100 3.00"
ACTG,MANAGEMENT ACCOUNTING FUNDAMENTALS,SU,"MACC,GDIA",Joelle Pokrajac,3,3,"This course addresses managerial accounting, which includes a variety of tools and concepts that assist managers with the planning and co-ordination, motivation and evaluation of activities of the organization and its members. The course includes an in-depth study of cost and management accounting techniques/concepts and their application to product costing, planning, control and decision-making.Previously offered as SB/MACC 5211 3.00. Prerequisite & Corequisite:: SB/ACTG 5101 3.00 (previously offered as SB/MACC 5101 3.00) Note: Open only to MACC students."
ACTG,INTERMEDIATE FINANCIAL ACCOUNTING I,SU,"MACC,GDIA",Richa Khanna,3,3,Examines the accounting concepts and principles that relate to the asset accounts. Attention is given to alternative asset measurement bases and related revenue recognition and income determination bases. Prerequisite: SB/ACTG 5100 3.00; SB/ACTG 5101 3.00 (previously offered as SB/MACC 5101 3.00) for students pursuing the Schulich Diploma in Intermediate Accounting (DIAc).
ACTG,ADVANCED FINANCIAL ACCOUNTING,SU,MACC,Marisa Morriello,5,3,"The final course in the three-course financial accounting core, this course emphasizes accounting for international activities and intercorporate investments. The application of accounting principles to case situations in specialized industries and non-profit organizations is also considered. Prerequisites: SB/ACTG 6120 3.00 & SB/ACTG 6140 3.00. Note: Not available to exchange students visiting Schulich."
ACTG,INTEGRATIVE CASE ANALYSIS FOR ACCOUNTANTS,SU,MACC,Marisa Morriello,5,3,"This is the second of six case courses for the MAcc Program This course requires students to integrate knowledge obtained in the courses taken throughout the program and apply that knowledge to cases that incorporate all of the competency areas, including financial reporting, strategy and governance, assurance, finance, management accounting, and taxation. Prerequisite: SB/ACTG 6201 1.50 (previously offered as SB/MACC 6201 1.50) NOTE: Open only to MACC students and MBA students pursuing the CPA designation"
ACTG,ADVANCED INTEGRATIVE CASE ANALYSIS,SU,MACC,Alla Volodina,4,3,"This course builds on the previous case courses, and further develops students' problem-solving and decision-making skills. Cases include both multi-competency and comprehensive examples, incorporating all technical competency areas (financial reporting, strategy and governance, management accounting, audit and assurance, finance, and taxation) and enabling competencies. Students work on their communication skills and teamwork through both written reports and presentations. Prerequisite: SB/ACTG 6301 3.00 (previously offered as SB/MACC 6301 3.00) NOTE: Open only to MACC students and MBA students in the CPA accredited program."
ENTR,ENTREPRENEURSHIP & NEW FIRM CREATION,SU,MMGT,Dan Tzotzis,3,3,"Explores various dimensions of the creation of new ventures, including family enterprises. It is concerned with content and process questions as well as with formulation and implementation issues that relate to conceptualizing, developing and managing successful new ventures. The course examines the nature of entrepreneurs and what they do. It identifies the nature of opportunities and considers how new venture ideas can successfully be screened. The course provides the opportunity to develop a cohesive and affective business plan for a start-up venture. Prerequisites: All 5100-series Required Foundations of Management Core Courses."
ENTR,STARTUP MARKETING,SU,MMGT,Roshni Wijayasinha,4,3,"Entrepreneurs are not truly in business until they make their first sale and have a paying customer. This course develops a managerial and socio-cultural perspective on startup marketing to understanding how the interplay between cultural meaning systems, marketplace structures, and consumer behaviour can be strategically leveraged and influenced through specific marketing strategies to successfully bring a new product to market."
ENTR,INTELLIGENT INNOVATION ECOSYSTEM DESIGN,SU,"MBA,MBAT",Cherry Rose Tan,4,3,"Intelligent Innovation Ecosystem Design is a two-week intensive course that unlocks the strategies behind creating a thriving Tech & Innovation Ecosystem - leveraging the incredible story of Toronto's rapid rise to global prominence. In 2021, Toronto was ranked as North America's fastest growing tech market, with 80,000 tech jobs created. This development followed Toronto winning the 3-year bid to host Collision Conference, North America's largest tech conference with 33,000 attendees, in 2019. In the last decade, Toronto has moved from a local presence into an international one: an ecosystem that nurtures and powers up high-growth startups, scaleups and unicorns (1B or higher valuations). What sparks and drives this next-generation innovation ecosystem? In this hands-on course taught by Guest Lecturers from the most influential ecosystem design minds in Toronto, students will learn the frameworks and strategies behind sparking, scaling, and sustaining Tech & Innovation. This course focuses on real-life application, following the startup journey from early-stage to exit across several verticals (e.g. fintech), and examining the crucial role played by ecosystem design. Furthermore, this MBA offering is enhanced by site visits to strategic locations, experiential learning opportunities, and facetime with leading innovators. Emphasis is placed on critical thinking and practical application, in order for students to supercharge their careers and infuse key learnings into their local tech ecosystems."
ENTR,VENTURE CAPITAL AND PRIVATE EQUITY,SU,"MBA, MMgt",Stuart Browne,3,3,"This course is primarily geared to students interested in working in venture capital or other private equity organizations at some point in their careers. It is also valuable for those who intend to work alongside venture capitalists as managers of firms being financed by such investors and for students interested in applying aspects of private equity investing to established organizations. The course is divided into four modules focusing on the venture capital cycle including fundraising, investing, and exiting. In the final module the course explores new frontiers in venture capital including corporate venturing. Throughout the course we touch on career issues with respect to private equity. Prerequisite: all 5000-series Required Foundations of Management Core Courses."
FINE,MANAGERIAL FINANCE,SU,"MBA,MACC,MBAN,GDIA",Supinder Babra,3,3,"Provides an opportunity to learn about investment and financing decisions. The investment decisions involve asset valuation, capital budgeting, risk management, working capital management and performance assessment. The financing decisions include the choice of capital structure and financial instruments, the risk-return trade-off, financial planning and cost of capital. Ethical, environmental, and corporate governance considerations are integrated into investment and financing decisions."
FINE,PERSONAL FINANCIAL MANAGEMENT,SU,MBA,Moshe Milevsky,4,3,"Students learn the concepts and techniques of personal financial management in a thorough and rigorous finance framework. Topics include: goal setting, budgeting, financial intermediation, income tax, risk management, insurance, debt management, home valuation, investments, retirement planning, estate planning and strategic use of personal financial planning in financial institutions. Prerequisite: SB/FINE 5200 3.00."
FINE,FINANCIAL MANAGEMENT,SU,MBA,Supinder Babra,3,3,"This course focuses on key issues in corporate financial management. It covers working capital management, capital budgeting, capital structure decisions, dividend policy, mergers and acquisitions, leasing and the impact of inflation on financial decisions. Extensive use may be made of case studies. Prerequisite: SB/FINE 5200 3.00."
MBAN,DATA SCIENCE I,SU,"MBAN,MMAI",Delina Ivanova,5,3,"An introduction to data science techniques designed for students who will work with data scientists or invest in related ventures. The course introduces fundamental concepts and techniques for the analysis of data-centered business problems, the creation and evaluation of solutions, the data science strategies, the basic cycle of a data-mining project, and the integration into business strategies. Prerequisite: MBAN or MMAI student ."
MBAN,REALIZING VALUE FROM AI AND ANALYTICS IN ORGANIZATIONS,SU,"MBA,MBAT",Divinus Oppong-Tawiah,4,3,"This course provides a practical grounding in analytics and artificial intelligence (AI) and its business applications in organizations. Students will learn how to address business pain points through AI and analytics solutions and how to sell and deliver project ideas. Students will gain skills needed to transform an organization into an innovative, efficient and data driven company of the future."
MFIN,ANALYSIS STRUCTURED PRODUCTS USING EXCEL,SU,MFIN,Faisal Habib,4,3,"This course will function as a hands-on research practicum in which 3-4 """"live"""" structured products will be brought into the classroom and analyzed using the tools of financial economics. And, given the advanced (capstone) nature of the course, we will examine these structures from a variety of perspectives. Some of the questions we will address are: Who exactly manufactures them? Why are they being created? Who buys them and how do they fit into a pre-existing investment portfolio? How should they be priced/valued? What are their regulatory and tax implications? Can they be synthesized using existing securities? How profitable are they for the issuer/underwriter? Prerequisite: SB/MFIN 5400 3.00."
MFIN,ADVANCED DERIVATIVE SECURITIES,SU,"MBA,MFIN",Joe Lu,5,3,"This course covers a list of advanced topics in derivative securities with a focus on pricing and hedging. Students are assumed to have taken an introductory course in derivatives. The objective of this course is to develop modelling skills needed to value the full range of derivative securities: from exchange-traded options to over-the-counter products including exotic options, embedded options and credit derivatives. The fundamental theory is the Equivalent Martingale Pricing Principle or the Risk-neutral valuation by no-arbitrage. Analytical models and various numerical methods will be discussed in detail. It is assumed that students are familiar with the Black-Scholes and binomial pricing models. Prerequisite: SB/FINE 6800 3.00"
MFIN,CORPORATE GOVERNANCE AND SECURITIES LAW,SU,MFIN,Ramandeep Grewal,5,1.5,"Provides an overview of Canadian capital markets and securities regulation and a discussion of selected issues in corporate governance. The focus is on contemporary debates in securities regulation and corporate governance, paying particular attention to how these developments are situated within the history of the development corporate governance laws and norms in Canada and internationally."
MFIN,FINANCIAL RISK MANAGEMENT,SU,"MBA,MFIN",Andrew Aziz,3,3,"An introduction as well as an in-depth understanding of issues in financial risk management from the perspective of non-financial corporations. The focus is on the measurement of risk and the usage of related instruments to hedge the risk. Prerequisites: SB/MFIN 5400 3.00, SB/FINE 6800 3.00."
MFIN,ETHICAL DECISION MAKING FOR FINANCE PROFESSIONALS,SU,MFIN,David Yu,4,1.5,"This course is designed around the Code of Ethics and Standards of Professional Conduct from the CFA Institute. Students who wish to pursue a career in capital markets should prepare themselves with a thorough understanding of the ethical principles and professional standards. Using real-life examples and case studies, students gain experience in analyzing and resolving complex business challenges in financE."
MGMT,VENTURE STUDIO THE ACCELERATION MISSION,SU,MBAT,Matthew Lombardi,4,6,This Work Integrated Learning Course (class + startup/founder placement + dedicated additional mentor model) provides students with the opportunity to learn leading product design/roadmap/management strategies and frameworks for high-growth potential technology firms. Students will further learn how those strategies and frameworks connect directly to the investments placed by Venture (VC) Investors seeking scaling tech 'unicorn' firms.
MGMT,BUSINESS ADMINISTRATION AND THE LAW,SU,"MACC,GDIA,MBA",Peter Macdonald,3,3,"This course familiarizes students with basic legal concepts and principles relevant to business administration. Topics include: the Canadian judicial system; contract law; tort law (including negligence, product liability and defamation); forms of carrying on business (including sole proprietorships, partnerships and corporations); bailment, agency and employment law; real property and mortgage law; and intellectual property law (including trademarks, copyright and patents). Prerequisite: All 5100-series Required Foundations of Management Core Courses. Note: Law students or students with law degrees are not permitted to take this course."
MGMT,CASE ANALYSIS AND PRESENTATION SKILLS,SU,"MBA,MBAN,MMAI",Alexandros Athanasopoulos,3,3,"This course is designed to give students the opportunity to practice and develop their analytical thinking and presentation skills. The key objective of the course is to train students to successfully participate in national and international case competitions. A secondary objective is to prepare students to successfully interview for management consulting positions. Second-year MBA students who enjoy analyzing cases and delivering presentations are encouraged to take the course. Prerequisites: SB/ACTG 5100 3.00, SB/MGMT 6150 3.00 (Previously offered as MGMT 5150 3.00), SB/MKTG 5200 3.00, SB/SUST 5200 3.00 (Prior to S23 SB/SGMT 5800 3.00; prior to W20 SB/MGMT 5260 3.0) & SB/ORGS 5100 3.00 Corequisite: SB/SGMT 6000 3.00"
MGMT,PROFESSIONAL DEVELOPMENT FOR MANAGERS,SU,MBA,Minerva Cernea,5,3,"This course is designed to help MBA students acquire skills and knowledge that will facilitate their professional development and increase their employability. The students (1) engage in self-assessment, (2) develop an awareness of the changing professional environment (3) learn how to interact with other professionals in different cultural and organizational settings, and (4) promote themselves in an efficient manner."
MGMT,INNOVATION THROUGH TECHNOLOGY AND DESIGN,SU,MBA,Kelly Parke,3,3,"Managing innovation, technology and design is key to success. This cross-functional course provides students with understanding and hands-on ""innovation lab"" experience applying the latest thinking in technology and design to innovation strategies. Suitable for all students, the course emphasizes the balancing of 21st century management skills of creativity, rigor and intuition in the end-to-end managment of customer experience."
MKTG,MARKETING MANAGEMENT,SU,"MBA,MBAN,MSCM",Ashley Konson,5,3,"This course familiarizes students with the major marketing concepts (buyer behaviour, segmentation, targeting, positioning, product/service development and management, pricing, distribution, communication). It applies these concepts to profit, not-for-profit, new, mature, service, product-based, domestic and international organizations. It develops specific skills such as problem-solving, verbal presentation, business writing and group work.Marketing ethics and sustainability issues are integrated into the course."
